block_id,direction_id,route_id,service_id,shape_id,trip_headsign,trip_id,trip_short_name,wheelchair_accessible
6,1,R1,SU,R1_1,Aluva,R1SUL184112,18:41 Aluva,1
6,0,R1,SU,R1_0,Maharaja College,R1SUR191611,19:16 Maharaja College,1
6,1,R1,SU,R1_1,Aluva,R1SUL195309,19:53 Aluva,1
6,0,R1,SU,R1_0,Maharaja College,R1SUR203111,20:31 Maharaja College,1
6,1,R1,SU,R1_1,Aluva,R1SUL210637,21:06 Aluva,1
6,0,R1,SU,R1_0,Maharaja College,R1SUR214136,21:41 Maharaja College,1
7,0,R1,SU,R1_0,Maharaja College,R1SUR101202,10:12 Maharaja College,1
7,1,R1,SU,R1_1,Aluva,R1SUL104727,10:47 Aluva,1
7,0,R1,SU,R1_0,Maharaja College,R1SUR112336,11:23 Maharaja College,1
7,1,R1,SU,R1_1,Aluva,R1SUL115842,11:58 Aluva,1
7,0,R1,SU,R1_0,Maharaja College,R1SUR123341,12:33 Maharaja College,1
7,1,R1,SU,R1_1,Aluva,R1SUL130842,13:08 Aluva,1
7,0,R1,SU,R1_0,Maharaja College,R1SUR134341,13:43 Maharaja College,1
7,1,R1,SU,R1_1,Aluva,R1SUL141842,14:18 Aluva,1
7,0,R1,SU,R1_0,Maharaja College,R1SUR145341,14:53 Maharaja College,1
7,1,R1,SU,R1_1,Aluva,R1SUL152842,15:28 Aluva,1
7,0,R1,SU,R1_0,Maharaja College,R1SUR160341,16:03 Maharaja College,1
7,1,R1,SU,R1_1,Aluva,R1SUL163842,16:38 Aluva,1
7,0,R1,SU,R1_0,Maharaja College,R1SUR171341,17:13 Maharaja College,1
7,1,R1,SU,R1_1,Aluva,R1SUL174842,17:48 Aluva,1
7,0,R1,SU,R1_0,Maharaja College,R1SUR182341,18:23 Maharaja College,1
7,1,R1,SU,R1_1,Aluva,R1SUL185842,18:58 Aluva,1
7,0,R1,SU,R1_0,Maharaja College,R1SUR193341,19:33 Maharaja College,1
7,1,R1,SU,R1_1,Aluva,R1SUL201039,20:10 Aluva,1
7,0,R1,SU,R1_0,Maharaja College,R1SUR204526,20:45 Maharaja College,1
7,1,R1,SU,R1_1,Aluva,R1SUL212037,21:20 Aluva,1
7,0,R1,SU,R1_0,Maharaja College,R1SUR215607,21:56 Maharaja College,1
8,0,R1,SU,R1_0,Maharaja College,R1SUR104855,10:48 Maharaja College,1
8,1,R1,SU,R1_1,Aluva,R1SUL112342,11:23 Aluva,1
8,0,R1,SU,R1_0,Maharaja College,R1SUR115841,11:58 Maharaja College,1
8,1,R1,SU,R1_1,Aluva,R1SUL123342,12:33 Aluva,1
8,0,R1,SU,R1_0,Maharaja College,R1SUR130841,13:08 Maharaja College,1
8,1,R1,SU,R1_1,Aluva,R1SUL134342,13:43 Aluva,1
8,0,R1,SU,R1_0,Maharaja College,R1SUR141841,14:18 Maharaja College,1
8,1,R1,SU,R1_1,Aluva,R1SUL145342,14:53 Aluva,1
8,0,R1,SU,R1_0,Maharaja College,R1SUR152841,15:28 Maharaja College,1
