stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0900220,51102,Cedar Blvd:Moores Av,,  37.5315420,-122.0080080,,,0,
0900230,56268,Cedar Blvd:Mowry Av,,  37.5250852,-122.0083149,,,0,
0900240,51103,Cedar Blvd:Mowry Av,,  37.5244128,-122.0073553,,,0,
0900250,53393,Cedar Blvd:Mowry Av,,  37.5252790,-122.0081890,,,0,
0900260,55784,Cedar Blvd:Musick Av,,  37.5449467,-122.0293097,,,0,
0900270,53347,Cedar Blvd:N Magazine,,  37.5232137,-122.0047018,,,0,place_NEPA
0900280,51158,Cedar Blvd:N Magazine,,  37.5235996,-122.0048320,,,0,place_NEPA
0900290,55347,Cedar Blvd:Newark Blvd,,  37.5485234,-122.0438268,,,0,
0900300,55069,Cedar Blvd:Port Sailwood Dr,,  37.5451200,-122.0290260,,,0,
0900310,56690,Cedar Blvd:Robertson Av,,  37.5350570,-122.0148760,,,0,
0900320,50552,Cedar Blvd:S Magazine (Newpark Mall),,  37.5224162,-122.0021680,,,0,
0900330,53301,Cedar Blvd:S Magazine,,  37.5221193,-122.0018492,,,0,
0900350,56286,Cedar Blvd:Smith Av,,  37.5336599,-122.0125135,,,0,
0900360,51106,Cedar Blvd:Smith Av,,  37.5334430,-122.0115980,,,0,
0900370,52988,Cedar Blvd:Stevenson Blvd,,  37.5186215,-121.9926350,,,0,
0900380,58875,Cedar Blvd:Stevenson Blvd,,  37.5186332,-121.9921116,,,0,
0900390,51130,Cedar Blvd:Thornton Av,,  37.5427596,-122.0275180,,,0,
0900400,53395,Cedar Blvd:Thornton Av,,  37.5429421,-122.0272783,,,0,
0900450,53959,Central Av:Birch St,,  37.5338424,-122.0218397,,,0,
0900460,57540,Central Av:Birch St,,  37.5337492,-122.0215170,,,0,
0900470,57119,Central Av:Cedar Blvd,,  37.5365798,-122.0196082,,,0,
0900480,57310,Central Av:Cedar Blvd,,  37.5366170,-122.0191258,,,0,
0900510,51109,Central Av:Cherry St,,  37.5281699,-122.0264813,,,0,
0900540,56383,Central Av:Morton Av,,  37.5222215,-122.0315579,,,0,
0900550,55091,Central Av:Morton Av,,  37.5219813,-122.0315109,,,0,
0900560,57910,Central Av:Sycamore St,,  37.5250757,-122.0286058,,,0,
0900570,59676,Central Av:Sycamore St,,  37.5248477,-122.0290989,,,0,
0900610,56636,Cherry St:Central Av,,  37.5282553,-122.0251179,,,0,
0900620,59710,Cherry St:Jasmine Av,,  37.5212688,-122.0116138,,,0,
0900630,52116,Cherry St:Jasmine Av,,  37.5217184,-122.0118313,,,0,
0900660,54080,Cherry St:Moores Av,,  37.5234244,-122.0151354,,,0,
0900670,57101,Cherry St:Moores Av,,  37.5231804,-122.0151553,,,0,
0900680,57212,Cherry St:Robertson Av,,  37.5271441,-122.0223053,,,0,
0900690,55092,Cherry St:Robertson Av,,  37.5268723,-122.0223525,,,0,
0900700,55093,Cherry St:Smith Av,,  37.5252473,-122.0186516,,,0,
0900710,53312,Cherry St:Smith Av,,  37.5250516,-122.0188252,,,0,
0900800,51330,Filbert St:Enterprise Dr,,  37.5252696,-122.0363285,,,0,
0900810,59059,Filbert St:Enterprise Dr,,  37.5250711,-122.0365045,,,0,
0900910,52119,Haley St:Cabernet Av,,  37.5401009,-122.0498228,,,0,
0900920,55162,Haley St:Cabernet Av,,  37.5403610,-122.0499750,,,0,
0900930,55163,Haley St:Cedar Blvd,,  37.5378180,-122.0468980,,,0,
0900940,53288,Haley St:Cedar Blvd,,  37.5374320,-122.0466980,,,0,
0900950,53988,Haley St:Jarvis Av,,  37.5416742,-122.0559859,,,0,
0900960,53551,Haley St:Railroad Crossing,,  37.5414370,-122.0537370,,,0,
