stop_id,stop_name,stop_lat,stop_lon,stop_desc
KUKAT13,Kukatpally,17.48365,78.41318,
KUKAT14,Kukatpally,17.48457,78.41178,kukatpally towards kphp main road
KUKAT15,Kukatpally Crossroads,17.48426,78.41228,
KUKAT16,Kukatpally Bus Depot,17.48343,78.41323,
KUKAT17,Kukatpally Bus Depot,17.47348,78.42511,
KUKAT18,Kukatpally Y Junction,17.47615,78.42303,
KUKAT2,Kukatpally Y Junction Bus Stop,17.47597,78.42292,
KUKAT3,Kukatpally Govt. College,17.48151,78.41594,
KUKAT4,Kukatpally Bus Stop,17.48386,78.41242,
KUKAT5,Kukatpally Bus Stop,17.48358,78.41318,
KUKAT6,Kukatpally Govt. College,17.48141,78.41643,
KUKAT7,Kukatpally Bus Depot,17.47361,78.42573,
KUKAT8,Kukatpally Bus Stop,17.48371,78.41291,
KUKAT9,Kukatpally Crossroads Bus Stop,17.47616,78.42316,
KUSHA1,Kushaiguda Bus Depot,17.46854,78.5652,
KUSHA2,Kushaiguda Depot,17.46864,78.56492,
LADIE1,Ladies Hostel,17.41431,78.52168,
LADIE2,Ladies Hostel,17.41392,78.52141,
LAKDA1,Lakdaram X Road,17.5552,78.18925,
LAKDI1,Lakdikapul,17.40635,78.46292,
LAKDI2,Lakdikapul Bus Stop,17.40288,78.46624,
LAKDI3,Lakdi Ka Pul,17.40586,78.46329,
LALAP1,Lalapet,17.43751,78.54394,"Moula Ali Road, Indira Nagar, Malkajgiri, Secunderabad"
LALBU1,Lalbungalow,17.43597,78.45225,
LANGA1,Langar House,17.37814,78.4206,
LANGE1,Langer Houz,17.3808,78.42181,
LATHA1,Latha Talkies,17.39038,78.46863,
LAXMI1,Laxmi Nagar,17.46003,78.56441,
LAXMI2,Laxmi Nagar,17.46001,78.56416,
LIGCO1,LIG Colony,17.50429,78.2916,
LIGCO2,LIG Colony,17.50433,78.29153,
LINGA1,Lingampally Bus Station,17.49519,78.31724,
LINGA2,Lingampally Bus Station,17.49499,78.31724,
LINGA3,Lingampally,17.49615,78.31498,
LINGA4,Lingampally,17.49614,78.31546,
LINGA5,Lingampally,17.49519,78.31724,
LINGA6,Lingampally Bus Station,17.49476,78.31715,
MADIN1,Madinaguda,17.49499,78.34544,
MADIN2,Madinaguda,17.49479,78.34469,
MADIN3,Madinaguda,17.49528,78.3392,
MAHAR1,Maharashtra Bank Bus Stand,17.49217,78.3974,
MAHAT1,Mahatma Gandhi Bus Station,17.37779,78.48184,"Gowliguda North, Gowliguda, Hyderabad"
MAHAT2,Mahatma Gandhi Bus Station (MGBS),17.37879,78.48438,
MAITH1,Maithrivanam,17.4379,78.44344,
MAITH2,Maithrivanam,17.4375,78.44375,
MAITH3,Maithrivanam,17.43715,78.44391,
MAITR1,Maitrivanam Bus Stop,17.43711,78.4437,
MAITR2,Maitrivanam,17.43706,78.4437,
MALAK1,Malakpet,17.3743,78.49976,
MALAK2,Malakpet,17.37297,78.50549,
MALAY1,Malaysian Township,17.48052,78.38989,
MALAY2,Malaysian Township,17.48025,78.38965,
MANJU1,Manju Theater,17.44083,78.49313,
MANJU2,Manju Theater,17.44083,78.49314,
MASAB1,Masab Tank,17.40432,78.45177,
MASAB2,Masab Tank Bus Stop,17.40411,78.45238,
MEDCH1,Medchal Gubba,17.6119,78.48713,
MEDCH2,Medchal Chekpost,17.61745,78.48565,
MEDCH3,Medchal Bus Stop,17.63026,78.485,
MEDCH4,Medchal Bus Terminal,17.63384,78.48555,
MEDCH5,Medchal Bus Stop,17.63021,78.48508,
MEDCH6,Medchal Chekpost,17.61746,78.4858,
MEDCH7,Medchal Gubba,17.61184,78.48746,
MEHDI1,Mehdipatnam / Amba Theatre,17.39418,78.44215,
MEHDI2,Mehdipatnam / Amba Theatre,17.39381,78.44252,
MEHDI3,Mehdipatnam Bus Stop,17.39487,78.43895,
