route_id,service_id,direction_id,trip_id
225,ALL,1,225_0948_1
225,ALL,1,225_1000_1
225,ALL,1,225_1012_1
225,ALL,1,225_1024_1
225,ALL,1,225_1036_1
225,ALL,1,225_1048_1
225,ALL,1,225_1100_1
225,ALL,1,225_1116_1
225,ALL,1,225_1132_1
225,ALL,1,225_1148_1
225,ALL,1,225_1204_1
225,ALL,1,225_1220_1
225,ALL,1,225_1236_1
225,ALL,1,225_1252_1
225,ALL,1,225_1308_1
225,ALL,1,225_1324_1
225,ALL,1,225_1340_1
225,ALL,1,225_1356_1
225,ALL,1,225_1412_1
225,ALL,1,225_1428_1
225,ALL,1,225_1444_1
225,ALL,1,225_1500_1
225,ALL,1,225_1516_1
225,ALL,1,225_1532_1
225,ALL,1,225_1548_1
225,ALL,1,225_1604_1
225,ALL,1,225_1620_1
225,ALL,1,225_1636_1
225,ALL,1,225_1652_1
225,ALL,1,225_1708_1
225,ALL,1,225_1720_1
225,ALL,1,225_1732_1
225,ALL,1,225_1744_1
225,ALL,1,225_1756_1
225,ALL,1,225_1808_1
225,ALL,1,225_1820_1
225,ALL,1,225_1832_1
225,ALL,1,225_1844_1
225,ALL,1,225_1856_1
225,ALL,1,225_1908_1
225,ALL,1,225_1920_1
225,ALL,1,225_1932_1
225,ALL,1,225_1944_1
225,ALL,1,225_1956_1
225,ALL,1,225_2008_1
225,ALL,1,225_2024_1
225,ALL,1,225_2040_1
225,ALL,1,225_2056_1
225,ALL,1,225_2112_1
225,ALL,1,225_2128_1
225,ALL,1,225_2144_1
225,ALL,1,225_2200_1
225,ALL,1,225_2216_1
225,ALL,1,225_2232_1
225,ALL,1,225_2248_1
227B,ALL,0,227B_0445_0
227B,ALL,0,227B_0845_0
227B,ALL,0,227B_1105_0
227B,ALL,0,227B_1505_0
227B,ALL,0,227B_1905_0
227B,ALL,0,227B_1955_0
227B,ALL,1,227B_0635_1
227B,ALL,1,227B_1035_1
227B,ALL,1,227B_1255_1
227B,ALL,1,227B_1655_1
227B,ALL,1,227B_2055_1
227B,ALL,1,227B_2135_1
229,ALL,0,229_0440_0
229,ALL,0,229_0530_0
229,ALL,0,229_0600_0
229,ALL,0,229_0625_0
229,ALL,0,229_0630_0
229,ALL,0,229_0700_0
229,ALL,0,229_0740_0
229,ALL,0,229_0755_0
